OrthoSymbol	africanFrog	americanAlligator	americanEel	axolotl	bambooShark	barnOwl	beardedDragon	blindMoleRat	brownRat	budgerigar	canary	cat	catshark	chicken	cod	commonBuzzard	commonKestrel	cow	crabMacaque	daubentonBat	dog	eagleOwl	egyptianBat	emu	flavescentPeacockFish	garterSnake	giltheadBream	goldenEagle	gosHwak	greenAnole	groundBoa	groundSquirrel	harpyEagle	hawaiianCrow	honeyguide	hoodedCrow	horse	human	japaneseGecko	labMouse	littleOwl	mallardDuck	marmoset	minkeWhale	mousebird	nancymaMonkey	northernPike	oceanJacket	oldwife	oliveBaboon	opossum	orientalScopsOwl	ostrich	peregrineFalcon	pig	pigeon	quail	redStingray	rhesusMacaque	roundleafBat	sacwingedBat	sandRat	sparrowHawk	spottedGar	sunangel	tawnyOwl	tuna	uralOwl	westernFrog	whiteWagtail	yangtzeCatfish	zebraShark	zebrafinch	zebrafish
ALG3	alg3.S	ALG3	alg3	ALG3	alg3	ALG3	ALG3	Alg3	Alg3	ALG3	ALG3	ALG3	alg3	ALG3	alg3	ALG3	ENSFTIG00000000160	ALG3	ALG3	ALG3	ALG3	ENSBOBG00000014440	ALG3	ALG3	alg3	ALG3	alg3	ALG3	ALG3	alg3	ALG3	Alg3	ALG3	ALG3	ALG3	ALG3	ALG3	ALG3	ALG3	Alg3	ALG3	ALG3	ALG3	ALG3	ALG3	ALG3	alg3	alg3	alg3	ALG3	ALG3	ENSOSUG00000007512	ALG3	ALG3	ALG3	ALG3	ALG3	alg3	ALG3	ALG3	ALG3	Alg3	ENSANIG00000011189	alg3	ALG3	ALG3	alg3	ALG3	alg3	ALG3	alg3	alg3	ALG3	alg3
ALKBH3	alkbh3.L	ALKBH3	alkbh3	ALKBH3	alkbh3	ALKBH3	ALKBH3	Alkbh3	Alkbh3	ALKBH3	ALKBH3	ALKBH3	alkbh3	ALKBH3	alkbh3	ALKBH3	ENSFTIG00000015714	ALKBH3	ALKBH3	ALKBH3	ALKBH3	ENSBOBG00000010875	ALKBH3	ALKBH3	alkbh3	ALKBH3	alkbh3	ALKBH3	ALKBH3	alkbh3	ALKBH3	Alkbh3	ALKBH3	ALKBH3	ALKBH3	ALKBH3	ALKBH3	ALKBH3	ALKBH3	Alkbh3	ALKBH3	ALKBH3	ALKBH3	ALKBH3	ALKBH3	ALKBH3	alkbh3	alkbh3	alkbh3	ALKBH3	ALKBH3	ENSOSUG00000001785	ALKBH3	ALKBH3	ALKBH3	ALKBH3	ALKBH3	alkbh3	ALKBH3	ALKBH3	ALKBH3	Alkbh3	ENSANIG00000011753	alkbh3	ALKBH3	ALKBH3	alkbh3	ALKBH3	alkbh3	ALKBH3	alkbh3	alkbh3	ALKBH3	alkbh3
ANAPC5	anapc5.L	ANAPC5	anapc5	ANAPC5	anapc5	ANAPC5	ANAPC5	Anapc5	Anapc5	ANAPC5	ANAPC5	ANAPC5	anapc5	ANAPC5	anapc5	ANAPC5	ENSFTIG00000004302	ANAPC5	ANAPC5	ANAPC5	ANAPC5	ENSBOBG00000002604	ANAPC5	ANAPC5	anapc5	LOC106555931	anapc5	ANAPC5	ANAPC5	anapc5	ANAPC5	Anapc5	ANAPC5	ANAPC5	ANAPC5	ANAPC5	ANAPC5	ANAPC5	ANAPC5	Anapc5	ANAPC5	ANAPC5	ANAPC5	ANAPC5	ANAPC5	ANAPC5	anapc5	anapc5	anapc5	ANAPC5	ANAPC5	ENSOSUG00000000785	ANAPC5	ANAPC5	ANAPC5	ANAPC5	ANAPC5	anapc5	ANAPC5	ANAPC5	ANAPC5	Anapc5	ENSANIG00000012672	anapc5	ANAPC5	ANAPC5	anapc5	ANAPC5	anapc5	ANAPC5	anapc5	anapc5	ANAPC5	anapc5
AP5Z1	ap5z1.S	AP5Z1	ap5z1	AP5Z1	ap5z1	AP5Z1	AP5Z1	Ap5z1	Ap5z1	AP5Z1	AP5Z1	AP5Z1	ap5z1	AP5Z1	ap5z1	AP5Z1	ENSFTIG00000005262	AP5Z1	AP5Z1	AP5Z1	AP5Z1	ENSBOBG00000008906	AP5Z1	AP5Z1	ap5z1	AP5Z1	ap5z1	AP5Z1	AP5Z1	ap5z1	AP5Z1	Ap5z1	AP5Z1	AP5Z1	AP5Z1	AP5Z1	AP5Z1	AP5Z1	AP5Z1	Ap5z1	AP5Z1	AP5Z1	AP5Z1	AP5Z1	AP5Z1	AP5Z1	ap5z1	ap5z1	ap5z1	AP5Z1	AP5Z1	ENSOSUG00000006076	AP5Z1	AP5Z1	AP5Z1	AP5Z1	AP5Z1	ap5z1	AP5Z1	AP5Z1	AP5Z1	Ap5z1	ENSANIG00000017777	ap5z1	AP5Z1	AP5Z1	ap5z1	AP5Z1	LOC101733879	AP5Z1	ap5z1	ap5z1	AP5Z1	ap5z1
APIP	apip.L,apip.S	APIP	apip	APIP	apip	LOC104356363	APIP	Apip	Apip	APIP	APIP	APIP	apip	APIP	apip	APIP	APIP	APIP	APIP	APIP	APIP	APIP	LOC107504110	APIP	apip	APIP	apip	LOC115350377	APIP	apip	APIP	LOC101975600	APIP	LOC125327123	APIP	LOC104688037	APIP	APIP	APIP	Apip	APIP	APIP	APIP	APIP	APIP	APIP	apip	apip	apip	APIP	APIP	APIP	APIP	APIP	APIP	APIP	APIP		APIP	APIP	APIP	Apip	APIP	apip	APIP	APIP	LOC122985062	APIP	apip	LOC119701310	LOC124380185	apip	APIP	apip
APTX	aptx.L	APTX	aptx	APTX	aptx	APTX	APTX	Aptx	Aptx	APTX	APTX	APTX	aptx	APTX	aptx	APTX	ENSFTIG00000013911	APTX	APTX	APTX	APTX	ENSBOBG00000003341	APTX	APTX	aptx	APTX	aptx	APTX	APTX	aptx	APTX	Aptx	APTX	APTX	APTX	APTX	APTX	APTX	APTX	Aptx	APTX	APTX	APTX	APTX	APTX	APTX	aptx	aptx	aptx	APTX	APTX	ENSOSUG00000008574	APTX	APTX	APTX	APTX	APTX	aptx	APTX	APTX	APTX	Aptx	ENSANIG00000011541	aptx	APTX	APTX	aptx	APTX	aptx	APTX	aptx	aptx	APTX	aptx
ARFGEF3	arfgef3.S	ARFGEF3	arfgef3	ARFGEF3	arfgef3	ARFGEF3	ARFGEF3	Arfgef3	Arfgef3	ARFGEF3	ARFGEF3	ARFGEF3	arfgef3	ARFGEF3	arfgef3	ARFGEF3	ENSFTIG00000013422	ARFGEF3	ARFGEF3	ARFGEF3	ARFGEF3	ENSBOBG00000009967	ARFGEF3	ARFGEF3	arfgef3	ARFGEF3	arfgef3	ARFGEF3	ARFGEF3	arfgef3	ARFGEF3	Arfgef3	ARFGEF3	ARFGEF3	ARFGEF3	ARFGEF3	ARFGEF3	ARFGEF3	ARFGEF3	Arfgef3	ARFGEF3	ARFGEF3	ARFGEF3	ARFGEF3	ARFGEF3	ARFGEF3	arfgef3	arfgef3	arfgef3	ARFGEF3	ARFGEF3	ENSOSUG00000000509	ARFGEF3	ARFGEF3	ARFGEF3	ARFGEF3	ARFGEF3	arfgef3	ARFGEF3	ARFGEF3	ARFGEF3	Arfgef3	ENSANIG00000005673	arfgef3	ARFGEF3	ARFGEF3	arfgef3	ARFGEF3	arfgef3	ARFGEF3	arfgef3	arfgef3	ARFGEF3	arfgef3
ARIH2	arih2.L	ARIH2	arih2	ARIH2	arih2	ARIH2	ARIH2	Arih2	Arih2	ARIH2	ARIH2	ARIH2	arih2	ARIH2	arih2	ARIH2	ENSFTIG00000006090	ARIH2	ARIH2	ARIH2	ARIH2	ENSBOBG00000001640	ARIH2	ARIH2	arih2	ARIH2	LOC115584647	ARIH2	ARIH2	arih2	ARIH2	Arih2	ARIH2	ARIH2	ARIH2	ARIH2	ARIH2	ARIH2	ARIH2	Arih2	ARIH2	ARIH2	ARIH2	ARIH2	ARIH2	ARIH2	arih2	arih2	arih2	ARIH2	ARIH2	ENSOSUG00000004319	ARIH2	ARIH2	ARIH2	ARIH2	ARIH2	arih2	ARIH2	ARIH2	ARIH2	Arih2	ENSANIG00000002316	arih2	ARIH2	ARIH2	arih2	ARIH2	arih2	ARIH2	arih2	arih2	ARIH2	arih2
ARMC2	armc2.L	ARMC2	armc2	ARMC2	armc2	ARMC2	ARMC2	Armc2	Armc2	ARMC2	ARMC2	ARMC2	armc2	ARMC2	armc2	ARMC2	ENSFTIG00000003038	ARMC2	ARMC2	ARMC2	ARMC2	ENSBOBG00000006087	ARMC2	ARMC2	armc2	ARMC2	armc2	ARMC2	ARMC2	armc2	ARMC2	Armc2	ARMC2	ARMC2	ARMC2	ARMC2	ARMC2	ARMC2	ARMC2	Armc2	ARMC2	ARMC2	ARMC2	ARMC2	ARMC2	ARMC2	armc2	armc2	armc2	ARMC2	ARMC2	ENSOSUG00000012608	ARMC2	ARMC2	ARMC2	ARMC2	ARMC2	armc2	ARMC2	LOC109391427	ARMC2	Armc2	ENSANIG00000006689	armc2	ARMC2	ARMC2	armc2	ARMC2	armc2	ARMC2	armc2	armc2	ARMC2	armc2
ARMC3	armc3.L	ARMC3	armc3	ARMC3	armc3	ARMC3	ARMC3	Armc3	Armc3	ARMC3	ARMC3	ARMC3	armc3	ARMC3	armc3	ARMC3	ENSFTIG00000009682	ARMC3	ARMC3	ARMC3	ARMC3	ENSBOBG00000005041	ARMC3	ARMC3	armc3	ARMC3	armc3	ARMC3	ARMC3	armc3	ARMC3	Armc3	ARMC3	ARMC3	ARMC3	ARMC3	ARMC3	ARMC3	ARMC3	Armc3	ARMC3	ARMC3	ARMC3	ARMC3	ARMC3	ARMC3	armc3	armc3	armc3	ARMC3	ARMC3	ENSOSUG00000015205	ARMC3	ARMC3	ARMC3	ARMC3	ARMC3	armc3	ARMC3	ARMC3	ARMC3	Armc3	ENSANIG00000016252	armc3	ARMC3	ARMC3	armc3	ARMC3	armc3	ARMC3	armc3	armc3	ARMC3	armc3
ARMC6	armc6.L	ARMC6	armc6	ARMC6	armc6	ARMC6	ARMC6	Armc6	Armc6	ARMC6	ARMC6	ARMC6	armc6	ARMC6	armc6	ARMC6	ENSFTIG00000007127	ARMC6	ARMC6	ARMC6	ARMC6	ENSBOBG00000009126	ARMC6	ARMC6	armc6	ARMC6	armc6	ARMC6	ARMC6	armc6	ARMC6	Armc6	ARMC6	ARMC6	ARMC6	ARMC6	ARMC6	ARMC6	ARMC6	Armc6	ARMC6	ARMC6	ARMC6	ARMC6	ARMC6	ARMC6	armc6	armc6	armc6	ARMC6	ARMC6	ENSOSUG00000011787	ARMC6	ARMC6	ARMC6	ARMC6	ARMC6	armc6	ARMC6	ARMC6	ARMC6	Armc6	ENSANIG00000004267	armc6	ARMC6	ARMC6	armc6	ARMC6	armc6	ARMC6	armc6	armc6	ARMC6	armc6
ARMH3	armh3.L	ARMH3	armh3	ARMH3	armh3	ARMH3	CUNH10orf76	Armh3	Armh3	ARMH3	ARMH3	ARMH3	armh3	ARMH3	armh3	ARMH3	ENSFTIG00000001544	ARMH3	ARMH3	ARMH3	ARMH3	ENSBOBG00000008042	ARMH3	ARMH3	armh3	LOC106539218	armh3	ARMH3	ARMH3	armh3	ARMH3	Armh3	ARMH3	ARMH3	ARMH3	ARMH3	ARMH3	ARMH3	LOC107114425	Armh3	ARMH3	ARMH3	ARMH3	ARMH3	ARMH3	ARMH3	armh3	armh3	armh3	ARMH3	ARMH3	ENSOSUG00000014833	ARMH3	ARMH3	C14H10orf76	ARMH3	ARMH3	armh3	ARMH3	CUNH10orf76	ARMH3	Armh3	ENSANIG00000004321	armh3	ARMH3	ARMH3	armh3	ARMH3	armh3	ARMH3	armh3	armh3	ARMH3	armh3
ASB4	asb4.S	ASB4	asb4	ASB4	asb4	ASB4	ASB4	Asb4	Asb4	ASB4	ASB4	ASB4	asb4	ASB4	asb4	ASB4	ENSFTIG00000012320	ASB4	ASB4	ASB4	ASB4	ENSBOBG00000013347	ASB4	ASB4	asb4	ASB4	asb4	ASB4	ASB4	asb4	ASB4	Asb4	ASB4	ASB4	ASB4	ASB4	ASB4	ASB4	ASB4	Asb4	ASB4	ASB4	ASB4	ASB4	ASB4	ASB4	asb4	asb4	asb4	ASB4	ASB4	ENSOSUG00000012680	ASB4	ASB4	ASB4	ASB4	ASB4	asb4	ASB4	ASB4	ASB4	Asb4	ENSANIG00000014215	asb4	ASB4	ASB4	asb4	ASB4	asb4	ASB4	asb4	asb4	ASB4	asb4
ATG14	atg14.L	ATG14	atg14	ATG14	atg14	ATG14	ATG14	Atg14	Atg14	ATG14	ATG14	ATG14	atg14	ATG14	atg14	ATG14	ENSFTIG00000004658	ATG14	ATG14	ATG14	ATG14	ENSBOBG00000008365	ATG14	ATG14	atg14	ATG14	atg14	ATG14	ATG14	atg14	ATG14	Atg14	ATG14	ATG14	ATG14	ATG14	ATG14	ATG14	ATG14	Atg14	ATG14	ATG14	ATG14	ATG14	ATG14	ATG14	atg14	atg14	atg14	ATG14	ATG14	ENSOSUG00000006265	ATG14	ATG14	ATG14	ATG14	ATG14	atg14	ATG14	ATG14	ATG14	Atg14	ENSANIG00000001538	atg14	ATG14	ATG14	atg14	ATG14	atg14	ATG14	atg14	atg14	ATG14	atg14
ATPAF1	atpaf1.S	ATPAF1	atpaf1	ATPAF1	atpaf1	ATPAF1	ATPAF1	Atpaf1	Atpaf1	ATPAF1	ATPAF1	ATPAF1	atpaf1	ATPAF1	atpaf1	ATPAF1	ENSFTIG00000013876	ATPAF1	ATPAF1	ATPAF1	ATPAF1	ENSBOBG00000004806	ATPAF1	ATPAF1	atpaf1	ATPAF1	atpaf1	ATPAF1	ATPAF1	atpaf1	ATPAF1	Atpaf1	ATPAF1	ATPAF1	ATPAF1	ATPAF1	ATPAF1	ATPAF1	ATPAF1	Atpaf1	ATPAF1	ATPAF1	ATPAF1	ATPAF1	ATPAF1	ATPAF1	atpaf1	atpaf1	atpaf1	ATPAF1	ATPAF1	ENSOSUG00000009404	ATPAF1	ATPAF1	ATPAF1	ATPAF1	ATPAF1	atpaf1	ATPAF1	ATPAF1	ATPAF1	Atpaf1	ENSANIG00000016043	atpaf1	ATPAF1	ATPAF1	atpaf1	ATPAF1	atpaf1	ATPAF1	atpaf1	atpaf1	ATPAF1	atpaf1
B3GALT6	b3galt6.L,b3galt6.S	B3GALT6	b3galt6	B3GALT6	b3galt6	B3GALT6	B3GALT6	B3galt6	B3galt6	B3GALT6	B3GALT6	B3GALT6	b3galt6	B3GALT6	b3galt6	B3GALT6	ENSFTIG00000010839	B3GALT6	B3GALT6	B3GALT6	B3GALT6		B3GALT6	B3GALT6	b3galt6	B3GALT6	b3galt6	B3GALT6	B3GALT6	b3galt6	B3GALT6	B3galt6	B3GALT6	B3GALT6	B3GALT6	B3GALT6	B3GALT6	B3GALT6	B3GALT6	B3galt6	B3GALT6	B3GALT6	B3GALT6	B3GALT6	B3GALT6	B3GALT6	b3galt6	b3galt6	b3galt6	B3GALT6	B3GALT6	ENSOSUG00000008328	B3GALT6	B3GALT6	B3GALT6	B3GALT6	B3GALT6	b3galt6	B3GALT6	B3GALT6	B3GALT6	B3galt6	ENSANIG00000008472	b3galt6	B3GALT6	B3GALT6	b3galt6	B3GALT6	b3galt6	B3GALT6	b3galt6	b3galt6	B3GALT6	b3galt6
BBS7	bbs7.L	BBS7	bbs7	BBS7	bbs7	BBS7	BBS7	Bbs7	Bbs7	BBS7	BBS7	BBS7	bbs7	BBS7	bbs7	BBS7	ENSFTIG00000006939	BBS7	BBS7	BBS7	BBS7	ENSBOBG00000014691	BBS7	BBS7	bbs7	BBS7	bbs7	BBS7	BBS7	bbs7	BBS7	Bbs7	BBS7	BBS7	BBS7	BBS7	BBS7	BBS7	BBS7	Bbs7	BBS7	BBS7	BBS7	BBS7	BBS7	BBS7	bbs7	bbs7	bbs7	BBS7	BBS7	ENSOSUG00000012146	BBS7	BBS7		BBS7	BBS7	bbs7	BBS7	BBS7	BBS7	Bbs7	ENSANIG00000017551	bbs7	BBS7	BBS7	LOC122990626,bbs7	BBS7	bbs7	BBS7	bbs7	bbs7	BBS7	bbs7
BEND3	bend3.L,bend3.S	BEND3	bend3	BEND3	bend3	BEND3	BEND3	Bend3	Bend3	BEND3	BEND3	BEND3	bend3	BEND3	bend3	BEND3	ENSFTIG00000002495	BEND3	BEND3	BEND3	BEND3		BEND3	BEND3	bend3	BEND3	bend3	BEND3	BEND3	bend3	BEND3	Bend3	BEND3	BEND3	BEND3	BEND3	BEND3	BEND3	BEND3	Bend3	BEND3	BEND3	BEND3	BEND3	BEND3	BEND3	bend3	bend3	bend3	BEND3	BEND3	ENSOSUG00000012303	BEND3	BEND3	BEND3	BEND3	BEND3	bend3	BEND3	BEND3	BEND3	Bend3	ENSANIG00000002447	bend3	BEND3	BEND3	bend3	BEND3	bend3	BEND3	bend3	bend3	BEND3	bend3
BHLHA9	bhlha9.L,bhlha9.S	BHLHA9	LOC135236272,LOC135262520	BHLHA9	LOC140491499	BHLHA9	BHLHA9	Bhlha9	Bhlha9	BHLHA9	BHLHA9	BHLHA9		BHLHA9	bhlha9	BHLHA9	ENSFTIG00000012457	BHLHA9	BHLHA9	BHLHA9	BHLHA9	ENSBOBG00000008572	BHLHA9	BHLHA9	bhlha9		bhlha9	BHLHA9	BHLHA9	bhlha9		Bhlha9	BHLHA9	BHLHA9	BHLHA9	BHLHA9	BHLHA9	BHLHA9		Bhlha9	BHLHA9	BHLHA9	BHLHA9	BHLHA9	BHLHA9	BHLHA9	LOC105015512,bhlha9	bhlha9	bhlha9	BHLHA9	BHLHA9		BHLHA9	BHLHA9	BHLHA9	BHLHA9	BHLHA9	LOC140731401	BHLHA9	BHLHA9	BHLHA9	Bhlha9	ENSANIG00000011570	LOC102688276	BHLHA9	BHLHA9	bhlha9	BHLHA9	bhlha9	BHLHA9	bhlha9	LOC125464730	BHLHA9	LOC101882251,bhlha9
BRD9	brd9.L	BRD9	brd9	BRD9	brd9	BRD9	BRD9	Brd9	Brd9	BRD9	BRD9	BRD9	brd9	BRD9	brd9	BRD9	ENSFTIG00000002778	BRD9	BRD9	BRD9	BRD9	ENSBOBG00000011527	BRD9	BRD9	brd9	BRD9	brd9	BRD9	BRD9	brd9	BRD9	LOC101956427	BRD9	BRD9	BRD9	BRD9	BRD9	BRD9	BRD9	Brd9	BRD9	BRD9	BRD9	BRD9	BRD9	BRD9	brd9	brd9	brd9	BRD9	BRD9	ENSOSUG00000007718	BRD9	BRD9	BRD9	BRD9	BRD9	brd9	BRD9	BRD9	BRD9	Brd9	ENSANIG00000007524	brd9	BRD9	BRD9	brd9	BRD9	brd9	BRD9	brd9	brd9	BRD9	brd9
BTAF1	btaf1.L	BTAF1	btaf1	BTAF1	btaf1	BTAF1	BTAF1	Btaf1	Btaf1	BTAF1	BTAF1	BTAF1	btaf1	BTAF1	btaf1	BTAF1	ENSFTIG00000006375	BTAF1	BTAF1	BTAF1	BTAF1	ENSBOBG00000008728	BTAF1	BTAF1	btaf1	BTAF1	btaf1	BTAF1	BTAF1	btaf1	BTAF1	Btaf1	BTAF1	BTAF1	BTAF1	BTAF1	BTAF1	BTAF1	BTAF1	Btaf1	BTAF1	BTAF1	BTAF1	BTAF1	BTAF1	BTAF1	btaf1	btaf1	btaf1	BTAF1	BTAF1	ENSOSUG00000006976	BTAF1	BTAF1	BTAF1	BTAF1	BTAF1	btaf1	BTAF1	BTAF1	BTAF1	Btaf1	ENSANIG00000017967	btaf1	BTAF1	BTAF1	btaf1	BTAF1	btaf1	BTAF1	btaf1	btaf1	BTAF1	btaf1
BUB1B	bub1b.L	BUB1B	bub1bb	BUB1B	bub1bb	BUB1B	BUB1B	Bub1b	Bub1b	BUB1B	BUB1B	BUB1B	bub1bb	BUB1B	bub1bb	LOC142040504	ENSFTIG00000011053	BUB1B	BUB1B	BUB1B	BUB1B	ENSBOBG00000003803	BUB1B	BUB1B	bub1bb	BUB1B	bub1bb	BUB1B	BUB1B	bub1b	BUB1B	Bub1b	BUB1B	BUB1B	BUB1B	BUB1B	BUB1B	BUB1B	BUB1B	Bub1b	BUB1B	BUB1B	BUB1B	BUB1B	BUB1B	BUB1B	bub1bb	bub1bb	bub1bb	BUB1B	BUB1B	ENSOSUG00000003471	BUB1B	BUB1B	BUB1B	BUB1B	BUB1B	bub1bb	BUB1B	BUB1B	BUB1B	Bub1b	ENSANIG00000006039	bub1bb	BUB1B	BUB1B	bub1bb	BUB1B	bub1b	BUB1B	bub1bb	bub1bb	BUB1B	bub1bb
BYSL	bysl.S	BYSL	bysl	BYSL	bysl	BYSL	BYSL	Bysl	Bysl	BYSL	BYSL	BYSL	bysl	BYSL	bysl	BYSL	ENSFTIG00000008176	BYSL	BYSL	BYSL	BYSL	ENSBOBG00000007766	BYSL	BYSL	bysl	BYSL	bysl	BYSL	BYSL	bysl	BYSL	Bysl	BYSL	BYSL	BYSL	BYSL	BYSL	BYSL	BYSL	Bysl	BYSL	BYSL	BYSL	BYSL	BYSL	BYSL	bysl	bysl	bysl	BYSL	BYSL	ENSOSUG00000007582	BYSL	BYSL	BYSL	BYSL	BYSL	bysl	BYSL	BYSL	BYSL	Bysl	ENSANIG00000012239	bysl	BYSL	BYSL	bysl	BYSL	bysl	BYSL	bysl	bysl	BYSL	bysl
FERRY3	c12orf4.L	C4H12orf4	ferry3	FERRY3	ferry3	CUNH12orf4	CUNH12orf4	CUNH12orf4	Ferry3	FERRY3	C1AH12orf4	CB4H12orf4	ferry3	C12orf4	ferry3	FERRY3	ENSFTIG00000010971	C5H12orf4	FERRY3	C2H12orf4	C27H12orf4	ENSBOBG00000000297	CUNH12orf4	FERRY3	ferry3	LOC106539827	ferry3	C17H12orf4	C18H12orf4	ferry3	FERRY3	CUNH12orf4	C6H12orf4	C4H12orf4	C3H12orf4	C1AH12orf4	FERRY3	FERRY3	LOC107110408	D6Wsu163e	FERRY3	FERRY3	C9H12orf4	C11H12orf4	FERRY3	FERRY3	c19h12orf4	ferry3	ferry3	C9H12orf4	C5H12orf4	ENSOSUG00000005585	FERRY3	C6H12orf4	C5H12orf4	FERRY3	C1H12orf4	ferry3	C11H12orf4	CUNH12orf4	FERRY3	CUNH12orf4	ENSANIG00000010295	ferry3	FERRY3	FERRY3	c7h12orf4	FERRY3	c12orf4	C1AH12orf4	c5h12orf4	c25h12orf4	FERRY3	zgc_154077
FIRRM	c1orf112.L	FIRRM	firrm	FIRRM	firrm	CUNH1orf112	CUNH1orf112	CUNH1orf112	Firrm	FIRRM	FIRRM	CF1H1orf112	firrm	C1orf112	firrm	FIRRM	ENSFTIG00000004222	C16H1orf112	FIRRM	FIRRM	C7H1orf112	ENSBOBG00000008267	CUNH1orf112	FIRRM	firrm	LOC106555207	firrm	C12H1orf112	FIRRM	firrm	FIRRM	CUNH1orf112	FIRRM	C9H1orf112	FIRRM	C8H1orf112	FIRRM	FIRRM	LOC107106112	Firrm	FIRRM	FIRRM	FIRRM	FIRRM	FIRRM	FIRRM	c8h1orf112	firrm	firrm	C1H1orf112	FIRRM	ENSOSUG00000015973	FIRRM	FIRRM	C4H1orf112	FIRRM	C8H1orf112	firrm	C1H1orf112	CUNH1orf112	FIRRM	Firrm	ENSANIG00000014661	firrm	FIRRM	FIRRM	c9h1orf112	FIRRM	c1orf112	C8H1orf112	c23h1orf112	firrm	FIRRM	firrm
C21orf91	c21orf91.L,c21orf91.S	C1H21orf91	c9h21orf91	C7PH21orf91	c15h21orf91	CUNH21orf91	CUNH21orf91	CUNH21orf91	C11h21orf91	C2H21orf91	C1H21orf91	CC2H21orf91	c8h21orf91	C21orf91	c7h21orf91	C8H21orf91	ENSFTIG00000010174	C1H21orf91	C3H21orf91	C3H21orf91	C31H21orf91	ENSBOBG00000003058	CUNH21orf91	C1H21orf91	c14h21orf91	LOC106548607	c13h21orf91	C7H21orf91	C21H21orf91	c3h21orf91	C5H21orf91	CUNH21orf91	C8H21orf91	C2H21orf91	C1H21orf91	C1H21orf91	C26H21orf91	C21orf91	LOC107111036	D16Ertd472e	C1H21orf91	C1H21orf91	C21H21orf91	C4H21orf91	C1H21orf91	CUNH21orf91	c7h21orf91		c13h21orf91	C4H21orf91	C4H21orf91	ENSOSUG00000001221	C1H21orf91	C4H21orf91	C13H21orf91	C1H21orf91	C1H21orf91	c5h21orf91	C3H21orf91	CUNH21orf91	C2H21orf91	CUNH21orf91	ENSANIG00000004673	c5h21orf91	C1H21orf91	C2H21orf91	c13h21orf91	C2H21orf91	c21orf91	C1H21orf91	c11h21orf91	c12h21orf91	C1H21orf91	zgc_110006
C5orf22	c5orf22.L	C5H5orf22	c8h5orf22	C5PH5orf22	c41h5orf22	CUNH5orf22	CUNH5orf22	CUNH5orf22	C2h5orf22	C1H5orf22	C2H5orf22	CA1H5orf22	c6h5orf22	C2H5ORF22	c8h5orf22	C20H5orf22	ENSFTIG00000004910	C20H5orf22	C6H5orf22	C4H5orf22	C4H5orf22	ENSBOBG00000010068	CUNH5orf22	C2H5orf22	c17h5orf22	LOC106543377	c21h5orf22	C18H5orf22	C20H5orf22	c4h5orf22	C3H5orf22	CUNH5orf22	C1H5orf22	C1H5orf22	C6H5orf22	C2H5orf22	C21H5orf22	C5orf22	LOC107124856	6030458C11Rik	C2H5orf22	C2H5orf22	C2H5orf22	C2H5orf22	C4H5orf22	CUNH5orf22	c3h5orf22	cunh5orf22	c14h5orf22	C5H5orf22	C3H5orf22	ENSOSUG00000006155	C2H5orf22	C3H5orf22	C16H5orf22	C2H5orf22	C2H5orf22	c20h5orf22	C6H5orf22	CUNH5orf22	C1H5orf22	CUNH5orf22	ENSANIG00000010922	c6h5orf22	C2H5orf22	C1H5orf22	c12h5orf22	C1H5orf22	c5orf22	C2H5orf22	c20h5orf22	c2h5orf22	C2H5orf22	zgc_56556
CACFD1	cacfd1.S	CACFD1	cacfd1	CACFD1	cacfd1	CACFD1	CACFD1	Cacfd1	Cacfd1	CACFD1	CACFD1	CACFD1	cacfd1	CACFD1	cacfd1	CACFD1	ENSFTIG00000006871	CACFD1	CACFD1	CACFD1	CACFD1	ENSBOBG00000006715	CACFD1	CACFD1	cacfd1		cacfd1	CACFD1	CACFD1	cacfd1	CACFD1	Cacfd1	CACFD1	CACFD1	CACFD1	CACFD1	CACFD1	CACFD1	CACFD1	Cacfd1	CACFD1	CACFD1	CACFD1	CACFD1	CACFD1	CACFD1	cacfd1	cacfd1	cacfd1	CACFD1	CACFD1	ENSOSUG00000009893	CACFD1	CACFD1	CACFD1	CACFD1	CACFD1	cacfd1	CACFD1	CACFD1	CACFD1	Cacfd1	ENSANIG00000015393	cacfd1	CACFD1	CACFD1	cacfd1	CACFD1	cacfd1	CACFD1	cacfd1	cacfd1	CACFD1	cacfd1
CAMLG	camlg.L	CAMLG	LOC135250257,camlg	CAMLG	camlg	CAMLG	CAMLG	Camlg	Camlg	CAMLG	CAMLG	CAMLG	camlg	CAMLG	camlg	CAMLG	ENSFTIG00000012564	CAMLG	CAMLG	CAMLG	CAMLG		CAMLG	CAMLG	camlg	CAMLG	camlg	CAMLG	CAMLG	camlg	CAMLG	Camlg	CAMLG	CAMLG	CAMLG	CAMLG	CAMLG	CAMLG	CAMLG	Caml	CAMLG	CAMLG	CAMLG	CAMLG	CAMLG	CAMLG	camlg	camlg	camlg	CAMLG	CAMLG	ENSOSUG00000000980	CAMLG	CAMLG	CAMLG	CAMLG	CAMLG	camlg	CAMLG	CAMLG	CAMLG	Camlg	ENSANIG00000004341	camlg	CAMLG	CAMLG	camlg	CAMLG	camlg	CAMLG	camlg	camlg	CAMLG	camlg
