ProteinID	GeneGroup	ProteinLen
hoodedCrowDenovo__Unknown__TRINITY_DN941_c1_g1_i3.p1	OTX2	297.0
whiteWagtailDenovo__Unknown__TRINITY_DN26_c2_g1_i2.p1	CMAF	190.0
whiteWagtailDenovo__Unknown__TRINITY_DN154_c1_g1_i5.p1	CRX	290.0
whiteWagtailDenovo__Unknown__TRINITY_DN2744_c0_g2_i1.p1	MAFB	312.0
whiteWagtailDenovo__Unknown__TRINITY_DN2388_c0_g1_i2.p4	MAFF	150.0
whiteWagtailDenovo__Unknown__TRINITY_DN5683_c0_g1_i4.p1	MAFG	163.0
whiteWagtailDenovo__Unknown__TRINITY_DN856_c1_g1_i2.p1	MAFK	202.0
whiteWagtailDenovo__Unknown__TRINITY_DN4836_c1_g1_i4.p1	OTX1	357.0
whiteWagtailDenovo__Unknown__TRINITY_DN154_c1_g1_i5.p1	OTX2	290.0
canaryDenovo__Unknown__TRINITY_DN821_c1_g1_i1.p1	CMAF	190.0
canaryDenovo__Unknown__TRINITY_DN1082_c0_g2_i1.p1	CRX	290.0
canaryDenovo__Unknown__TRINITY_DN5639_c0_g3_i2.p2	MAFA	289.0
canaryDenovo__Unknown__TRINITY_DN5639_c0_g1_i2.p1	MAFB	312.0
canaryDenovo__Unknown__TRINITY_DN666_c0_g1_i1.p3	MAFF	150.0
canaryDenovo__Unknown__TRINITY_DN5851_c0_g1_i1.p1	MAFG	163.0
canaryDenovo__Unknown__TRINITY_DN5851_c0_g2_i1.p1	MAFK	187.0
canaryDenovo__Unknown__TRINITY_DN15387_c0_g2_i1.p1	OTX1	336.0
canaryDenovo__Unknown__TRINITY_DN1082_c0_g2_i1.p1	OTX2	290.0
zebrafinchDenovo__Unknown__TRINITY_DN1857_c0_g3_i1.p1	CMAF	383.0
zebrafinchDenovo__Unknown__TRINITY_DN10782_c0_g1_i34.p1	CRX	317.0
zebrafinchDenovo__Unknown__TRINITY_DN665_c0_g1_i7.p2	MAFA	289.0
zebrafinchDenovo__Unknown__TRINITY_DN665_c0_g3_i1.p3	MAFB	235.0
zebrafinchDenovo__Unknown__TRINITY_DN8261_c0_g1_i5.p1	MAFF	150.0
zebrafinchDenovo__Unknown__TRINITY_DN4465_c0_g1_i9.p5	MAFG	163.0
zebrafinchDenovo__Unknown__TRINITY_DN2005_c0_g2_i2.p1	MAFK	187.0
zebrafinchDenovo__Unknown__TRINITY_DN8388_c2_g2_i1.p2	OTX1	285.0
zebrafinchDenovo__Unknown__TRINITY_DN8388_c2_g1_i1.p1	OTX2	217.0
opossumDenovo__Unknown__TRINITY_DN6872_c0_g2_i1.p1	CMAF	150.0
opossumDenovo__Unknown__TRINITY_DN50648_c0_g1_i3.p1	CRX	290.0
opossumDenovo__Unknown__TRINITY_DN6872_c0_g1_i2.p1	MAFB	380.0
opossumDenovo__Unknown__TRINITY_DN427_c0_g1_i3.p1	NRL	152.0
opossumDenovo__Unknown__TRINITY_DN2911_c0_g1_i3.p1	OTX1	475.0
opossumDenovo__Unknown__TRINITY_DN50648_c0_g1_i3.p1	OTX2	290.0
tombBatDenovo__Unknown__TRINITY_DN5718_c1_g1_i3.p1	CMAF	272.0
tombBatDenovo__Unknown__TRINITY_DN1225_c1_g1_i35.p1	CRX	437.0
tombBatDenovo__Unknown__TRINITY_DN21905_c0_g1_i1.p1	MAFA	140.0
tombBatDenovo__Unknown__TRINITY_DN25551_c0_g2_i1.p2	MAFB	189.0
tombBatDenovo__Unknown__TRINITY_DN7550_c0_g2_i9.p1	MAFK	223.0
tombBatDenovo__Unknown__TRINITY_DN5718_c1_g1_i3.p1	NRL	272.0
tombBatDenovo__Unknown__TRINITY_DN3752_c0_g3_i5.p1	OTX1	384.0
tombBatDenovo__Unknown__TRINITY_DN129_c0_g1_i61.p2	OTX2	290.0
myotisBatDenovo__Unknown__TRINITY_DN13887_c0_g3_i2.p1	CMAF	229.0
myotisBatDenovo__Unknown__TRINITY_DN124_c0_g1_i6.p1	CRX	300.0
myotisBatDenovo__Unknown__TRINITY_DN155749_c0_g3_i1.p2	MAFB	145.0
myotisBatDenovo__Unknown__TRINITY_DN46536_c0_g1_i1.p2	MAFF	157.0
myotisBatDenovo__Unknown__TRINITY_DN142985_c0_g1_i1.p1	MAFG	321.0
myotisBatDenovo__Unknown__TRINITY_DN428_c0_g1_i6.p1	NRL	238.0
myotisBatDenovo__Unknown__TRINITY_DN1682_c0_g1_i3.p1	OTX1	289.0
myotisBatDenovo__Unknown__TRINITY_DN620_c0_g1_i8.p1	OTX2	290.0
roundleafBatDenovo__Unknown__TRINITY_DN2744_c0_g4_i5.p1	CMAF	144.0
roundleafBatDenovo__Unknown__TRINITY_DN1376_c0_g1_i4.p1	CRX	300.0
roundleafBatDenovo__Unknown__TRINITY_DN279243_c0_g1_i1.p2	MAFB	103.0
roundleafBatDenovo__Unknown__TRINITY_DN16162_c0_g1_i1.p1	MAFF	101.0
roundleafBatDenovo__Unknown__TRINITY_DN10795_c0_g1_i5.p1	MAFG	164.0
roundleafBatDenovo__Unknown__TRINITY_DN5718_c0_g1_i17.p1	NRL	158.0
roundleafBatDenovo__Unknown__TRINITY_DN29_c0_g1_i1.p1	OTX1	437.0
roundleafBatDenovo__Unknown__TRINITY_DN560_c0_g2_i2.p1	OTX2	290.0
fruitBatDenovo__Unknown__TRINITY_DN66218_c0_g1_i2.p2	CMAF	102.0
fruitBatDenovo__Unknown__TRINITY_DN828_c0_g1_i2.p1	CRX	300.0
fruitBatDenovo__Unknown__TRINITY_DN8295_c1_g1_i1.p1	MAFF	229.0
fruitBatDenovo__Unknown__TRINITY_DN2219_c0_g2_i4.p1	NRL	156.0
fruitBatDenovo__Unknown__TRINITY_DN136703_c0_g1_i1.p1	OTX2	197.0
nectarBatDenovo__Unknown__TRINITY_DN9159_c0_g1_i1.p1	CMAF	167.0
nectarBatDenovo__Unknown__TRINITY_DN4685_c0_g1_i3.p1	CRX	300.0
nectarBatDenovo__Unknown__TRINITY_DN278_c2_g1_i1.p2	MAFB	307.0
nectarBatDenovo__Unknown__TRINITY_DN154_c0_g1_i2.p1	MAFF	134.0
nectarBatDenovo__Unknown__TRINITY_DN136_c0_g1_i1.p1	MAFG	163.0
nectarBatDenovo__Unknown__TRINITY_DN1103_c0_g1_i4.p1	NRL	238.0
nectarBatDenovo__Unknown__TRINITY_DN3304_c3_g1_i3.p1	OTX1	356.0
nectarBatDenovo__Unknown__TRINITY_DN43961_c0_g1_i1.p1	OTX2	298.0
horseDenovo__Unknown__TRINITY_DN5851_c2_g1_i1.p1	CMAF	265.0
horseDenovo__Unknown__TRINITY_DN18979_c0_g2_i5.p1	CRX	350.0
horseDenovo__Unknown__TRINITY_DN947_c0_g1_i5.p2	MAFA	241.0
horseDenovo__Unknown__TRINITY_DN10619_c1_g1_i1.p1	MAFB	324.0
horseDenovo__Unknown__TRINITY_DN1673_c0_g1_i2.p5	MAFG	163.0
horseDenovo__Unknown__TRINITY_DN3320_c0_g1_i2.p1	NRL	290.0
horseDenovo__Unknown__TRINITY_DN887_c2_g1_i8.p1	OTX1	356.0
pigDenovo__Unknown__TRINITY_DN1008_c3_g1_i1.p1	CMAF	209.0
pigDenovo__Unknown__TRINITY_DN1074_c0_g1_i2.p1	CRX	380.0
pigDenovo__Unknown__TRINITY_DN10608_c0_g2_i1.p2	MAFB	228.0
pigDenovo__Unknown__TRINITY_DN27559_c0_g1_i1.p1	MAFF	228.0
pigDenovo__Unknown__TRINITY_DN9744_c1_g2_i2.p1	MAFG	239.0
pigDenovo__Unknown__TRINITY_DN9744_c1_g1_i3.p4	MAFK	157.0
pigDenovo__Unknown__TRINITY_DN620_c0_g1_i16.p1	NRL	263.0
pigDenovo__Unknown__TRINITY_DN715_c0_g1_i4.p1	OTX2	298.0
bowheadWhaleDenovo__Unknown__TRINITY_DN2161_c4_g1_i1.p1	CMAF	184.0
bowheadWhaleDenovo__Unknown__TRINITY_DN1153_c9_g1_i1.p1	CRX	377.0
bowheadWhaleDenovo__Unknown__TRINITY_DN27949_c0_g1_i1.p3	MAFB	165.0
bowheadWhaleDenovo__Unknown__TRINITY_DN5181_c0_g1_i3.p3	MAFG	184.0
bowheadWhaleDenovo__Unknown__TRINITY_DN1186_c0_g1_i9.p1	NRL	263.0
bowheadWhaleDenovo__Unknown__TRINITY_DN70539_c0_g1_i1.p2	OTX1	142.0
bowheadWhaleDenovo__Unknown__TRINITY_DN2151_c0_g1_i6.p1	OTX2	290.0
cowDenovo__Unknown__TRINITY_DN18834_c3_g1_i1.p1	CMAF	282.0
cowDenovo__Unknown__TRINITY_DN1029_c0_g1_i5.p1	CRX	300.0
cowDenovo__Unknown__TRINITY_DN22950_c0_g1_i1.p1	MAFB	324.0
cowDenovo__Unknown__TRINITY_DN11642_c0_g1_i1.p1	MAFF	169.0
cowDenovo__Unknown__TRINITY_DN8518_c0_g1_i1.p2	MAFG	283.0
cowDenovo__Unknown__TRINITY_DN8518_c0_g2_i3.p3	MAFK	158.0
cowDenovo__Unknown__TRINITY_DN18834_c3_g1_i1.p1	NRL	282.0
cowDenovo__Unknown__TRINITY_DN413_c0_g1_i5.p1	OTX2	378.0
catDenovo__Unknown__TRINITY_DN44643_c3_g1_i3.p1	CMAF	303.0
catDenovo__Unknown__TRINITY_DN1955_c0_g1_i6.p1	CRX	343.0
catDenovo__Unknown__TRINITY_DN25123_c0_g2_i1.p1	MAFB	139.0
catDenovo__Unknown__TRINITY_DN2726_c0_g1_i3.p1	MAFF	171.0
catDenovo__Unknown__TRINITY_DN2726_c0_g2_i3.p1	MAFG	186.0
catDenovo__Unknown__TRINITY_DN44643_c3_g1_i3.p1	NRL	303.0
catDenovo__Unknown__TRINITY_DN3222_c0_g1_i1.p1	OTX1	207.0
catDenovo__Unknown__TRINITY_DN1413_c0_g1_i8.p1	OTX2	298.0
dogDenovo__Unknown__TRINITY_DN271073_c0_g1_i1.p1	CMAF	116.0
dogDenovo__Unknown__TRINITY_DN931_c0_g1_i16.p1	CRX	298.0
dogDenovo__Unknown__TRINITY_DN8598_c0_g1_i1.p1	MAFG	157.0
dogDenovo__Unknown__TRINITY_DN931_c0_g1_i16.p1	OTX2	298.0
groundSquirrelDenovo__Unknown__TRINITY_DN20967_c0_g1_i1.p1	CMAF	290.0
groundSquirrelDenovo__Unknown__TRINITY_DN1475_c0_g1_i5.p1	CRX	300.0
groundSquirrelDenovo__Unknown__TRINITY_DN50601_c0_g1_i1.p1	MAFA	104.0
groundSquirrelDenovo__Unknown__TRINITY_DN2585_c2_g1_i1.p1	MAFB	191.0
groundSquirrelDenovo__Unknown__TRINITY_DN9766_c0_g1_i5.p1	MAFF	154.0
groundSquirrelDenovo__Unknown__TRINITY_DN4278_c0_g1_i1.p1	MAFG	192.0
groundSquirrelDenovo__Unknown__TRINITY_DN36295_c1_g1_i1.p1	MAFK	157.0
groundSquirrelDenovo__Unknown__TRINITY_DN5166_c0_g1_i6.p1	NRL	238.0
groundSquirrelDenovo__Unknown__TRINITY_DN3863_c1_g1_i29.p1	OTX2	337.0
zokorDenovo__Unknown__TRINITY_DN1863_c0_g1_i4.p1	CRX	337.0
zokorDenovo__Unknown__TRINITY_DN51399_c0_g1_i1.p1	MAFG	122.0
zokorDenovo__Unknown__TRINITY_DN1136_c0_g1_i5.p1	MAFK	172.0
zokorDenovo__Unknown__TRINITY_DN279_c0_g1_i21.p1	NRL	229.0
zokorDenovo__Unknown__TRINITY_DN41325_c1_g1_i8.p1	OTX2	329.0
sandRatDenovo__Unknown__TRINITY_DN161_c4_g1_i1.p1	CMAF	186.0
sandRatDenovo__Unknown__TRINITY_DN441_c1_g2_i6.p1	CRX	349.0
sandRatDenovo__Unknown__TRINITY_DN273514_c0_g1_i1.p1	MAFA	111.0
sandRatDenovo__Unknown__TRINITY_DN6054_c1_g1_i1.p1	MAFB	407.0
sandRatDenovo__Unknown__TRINITY_DN5807_c0_g2_i3.p2	MAFF	151.0
sandRatDenovo__Unknown__TRINITY_DN2383_c0_g1_i7.p1	MAFG	165.0
sandRatDenovo__Unknown__TRINITY_DN5807_c0_g1_i1.p3	MAFK	157.0
sandRatDenovo__Unknown__TRINITY_DN505_c2_g2_i5.p1	NRL	234.0
sandRatDenovo__Unknown__TRINITY_DN288_c2_g1_i1.p2	OTX1	297.0
sandRatDenovo__Unknown__TRINITY_DN3448_c0_g1_i13.p1	OTX2	298.0
brownRatDenovo__Unknown__TRINITY_DN62859_c0_g1_i1.p2	CMAF	126.0
brownRatDenovo__Unknown__TRINITY_DN587_c0_g1_i1.p1	CRX	381.0
brownRatDenovo__Unknown__TRINITY_DN120753_c0_g1_i1.p2	MAFB	133.0
brownRatDenovo__Unknown__TRINITY_DN10390_c0_g1_i3.p1	MAFG	193.0
brownRatDenovo__Unknown__TRINITY_DN179795_c0_g1_i1.p2	MAFK	111.0
brownRatDenovo__Unknown__TRINITY_DN35_c0_g1_i1.p1	NRL	181.0
brownRatDenovo__Unknown__TRINITY_DN769_c0_g1_i30.p1	OTX2	330.0
labMouseDenovo__Unknown__TRINITY_DN33128_c0_g1_i1.p3	CMAF	103.0
labMouseDenovo__Unknown__TRINITY_DN815_c0_g1_i2.p1	CRX	452.0
labMouseDenovo__Unknown__TRINITY_DN78582_c0_g1_i1.p2	MAFB	126.0
labMouseDenovo__Unknown__TRINITY_DN3886_c0_g1_i2.p1	MAFG	220.0
labMouseDenovo__Unknown__TRINITY_DN2_c0_g1_i2.p1	NRL	238.0
labMouseDenovo__Unknown__TRINITY_DN2938_c0_g1_i1.p1	OTX2	290.0
marmosetDenovo__Unknown__TRINITY_DN553_c0_g1_i16.p1	CMAF	179.0
marmosetDenovo__Unknown__TRINITY_DN5403_c0_g1_i13.p1	CRX	300.0
marmosetDenovo__Unknown__TRINITY_DN91344_c0_g1_i1.p3	MAFA	130.0
marmosetDenovo__Unknown__TRINITY_DN151009_c0_g1_i1.p1	MAFB	475.0
marmosetDenovo__Unknown__TRINITY_DN5994_c1_g1_i1.p1	MAFF	165.0
marmosetDenovo__Unknown__TRINITY_DN63898_c0_g1_i5.p1	MAFK	221.0
marmosetDenovo__Unknown__TRINITY_DN4866_c0_g1_i4.p1	NRL	294.0
marmosetDenovo__Unknown__TRINITY_DN1525_c0_g2_i2.p1	OTX1	356.0
marmosetDenovo__Unknown__TRINITY_DN25299_c0_g1_i29.p1	OTX2	298.0
nancymaMonkeyDenovo__Unknown__TRINITY_DN5405_c0_g1_i3.p2	CMAF	125.0
nancymaMonkeyDenovo__Unknown__TRINITY_DN575_c0_g1_i5.p1	CRX	300.0
nancymaMonkeyDenovo__Unknown__TRINITY_DN4340_c1_g1_i2.p1	MAFG	380.0
nancymaMonkeyDenovo__Unknown__TRINITY_DN9414_c0_g1_i5.p1	MAFK	175.0
nancymaMonkeyDenovo__Unknown__TRINITY_DN463_c0_g2_i3.p1	NRL	226.0
nancymaMonkeyDenovo__Unknown__TRINITY_DN163_c0_g1_i7.p1	OTX2	298.0
oliveBaboonDenovo__Unknown__TRINITY_DN2996_c0_g1_i3.p1	CRX	435.0
oliveBaboonDenovo__Unknown__TRINITY_DN34300_c0_g1_i1.p1	NRL	125.0
oliveBaboonDenovo__Unknown__TRINITY_DN2996_c0_g1_i3.p1	OTX2	435.0
crabMacaqueDenovo__Unknown__TRINITY_DN4999_c0_g4_i1.p1	CMAF	199.0
crabMacaqueDenovo__Unknown__TRINITY_DN562_c0_g3_i8.p1	CRX	357.0
crabMacaqueDenovo__Unknown__TRINITY_DN24195_c0_g1_i1.p2	MAFA	152.0
crabMacaqueDenovo__Unknown__TRINITY_DN4772_c6_g1_i1.p1	MAFB	324.0
crabMacaqueDenovo__Unknown__TRINITY_DN21938_c0_g4_i1.p1	MAFF	151.0
crabMacaqueDenovo__Unknown__TRINITY_DN6099_c0_g1_i7.p1	MAFG	245.0
crabMacaqueDenovo__Unknown__TRINITY_DN6099_c0_g2_i2.p1	MAFK	223.0
crabMacaqueDenovo__Unknown__TRINITY_DN3324_c0_g1_i5.p1	NRL	240.0
crabMacaqueDenovo__Unknown__TRINITY_DN4021_c0_g2_i1.p1	OTX1	527.0
crabMacaqueDenovo__Unknown__TRINITY_DN2132_c0_g1_i46.p1	OTX2	298.0
rhesusMacaqueDenovo__Unknown__TRINITY_DN7101_c0_g1_i1.p1	CMAF	147.0
rhesusMacaqueDenovo__Unknown__TRINITY_DN1307_c16_g1_i11.p1	CRX	379.0
rhesusMacaqueDenovo__Unknown__TRINITY_DN261237_c0_g1_i1.p2	MAFB	116.0
rhesusMacaqueDenovo__Unknown__TRINITY_DN783_c0_g1_i6.p1	NRL	173.0
rhesusMacaqueDenovo__Unknown__TRINITY_DN189059_c0_g1_i1.p1	OTX1	143.0
rhesusMacaqueDenovo__Unknown__TRINITY_DN1841_c0_g2_i1.p1	OTX2	330.0
humanDenovo__Unknown__TRINITY_DN1615_c0_g1_i3.p1	CMAF	136.0
humanDenovo__Unknown__TRINITY_DN663_c0_g1_i33.p1	CRX	463.0
humanDenovo__Unknown__TRINITY_DN152954_c0_g1_i1.p2	MAFB	102.0
humanDenovo__Unknown__TRINITY_DN10086_c0_g1_i2.p1	MAFG	122.0
humanDenovo__Unknown__TRINITY_DN1334_c0_g1_i6.p1	NRL	238.0
humanDenovo__Unknown__TRINITY_DN983_c0_g1_i13.p1	OTX2	290.0
